,OriginalTweet,Sentiment,cleaned
3102,"common sense #coronavirus - dont touch anybody or items others have touched with bare hands-stock up for winter mths SLOWLY &amp; freeze what you can,stay home as much as possible,keep kids home as much as possible, don't visit the elderley but make sure theyre ok with medicines/food",Extremely Positive,common sen coronaviru dont touch anybodi item touch bare hand stock winter mth slowli amp freez stay home much possibl keep kid home much possibl visit elderley make sure theyr ok medicin food
960,"I just went to grocery store for a bagel in greater L.A. area  &amp; the lines were VERY LONG ..shelves emptying quickly. People are PANIC buying &amp; hoarding. Some with 2 full carts. #coronapocalypse #coronaCrazy
#coronavirus #COVID2019 https://t.co/JZAI0bEYz7",Extremely Negative,went groceri store bagel greater l area amp line veri long shelv empti quickli peopl panic buy amp hoard full cart coronapocalyp coronacrazi coronaviru covid http co jzai beyz
252,"If you're looking to stock up on food and are strapped for cash the ducks in the park are free to take home
#coronavirus #hoarding",Positive,r look stock food strap cash duck park free take home coronaviru hoard
1994,"Via @NYDailyNews, U.S. stock exchanges experienced historic drops March 12 despite a $1.5 trillion cash infusion from the Federal Reserve: https://t.co/5oVgaYlvRJ #coronavirusoutbreak #coronavirus #food #foodindustry #economics #federalreserve #foodinstitute",Neutral,via nydailynew u stock exchang experienc histor drop march despit trillion cash infu feder reserv http co ovgaylvrj coronavirusoutbreak coronaviru food foodindustri econom federalreserv foodinstitut
1381,"The supermarket by me is packed, and it's not because today is #FridayThe13th, lol! #Brooklyn #NewYork  #CoronaVirus #Covid_19 #SelfIsolation #WashYourHands ??????? https://t.co/qXfNPKdMDg",Positive,supermarket pack becau today fridayth th lol brooklyn newyork coronaviru covid selfisol washyourhand http co qxfnpkdmdg
462,Fashion 2020 - Tales of going out to buy food #Covid_19 #italylockdown #supermarket https://t.co/36fPWgIymS,Neutral,fashion tale go buy food covid italylockdown supermarket http co fpwgiym
744,"Really confused by news reports: do I need to stock up on soap/food/diapers/TP, or is that ""panic buying""?  Don't want to be caught without essentials, also don't want to contribute to chaos. #Covid_19 #caronavirususa",Extremely Negative,realli confu news report need stock soap food diaper tp panic buy want caught without essenti also want contribut chao covid caronavirususa
2709,We are here in Texas. Prepared!  Schools are shut down for couple weeks. Food stock is good.  What do we do?  BBQ-Beer-Beans.   Clean our ammo room.  Oil the guns.  Get ready for zombies ???? (DemocratÂs) when we protect our personal property.  #ChinaVirus #WuFlu #coronavirus,Extremely Positive,texa prepar school shut coupl week food stock good bbq beer bean clean ammo room oil gun get readi zombi democrat protect person properti chinaviru wuflu coronaviru
3794,Did you panic buy a lot of non-perishable items? ECHO needs food donations. It is also looking for volunteers to pack boxes. Volunteers will be screened to be sure they don't have COVID-19. https://t.co/TST4Vjhbu4,Negative,panic buy lot non perish item echo need food donat also look volunt pack box volunt screen sure covid http co tst vjhbu
1947,"My husband's newest activity? Wait in line at the grocery store. Not to pay, but to get in. Only 1-2 allowed to enter at a time. #Covid_19 #CoronaVirusitaly",Neutral,husband newest activ wait line groceri store pay get onli allow enter time covid coronavirusitali
1605,Grocery store workers should get time and a half until this is over. They arenÂt paid enough for Black Friday conditions every shift. #coronavirus #ohiocoronavirus #panicbuyers #Covid_19,Neutral,groceri store worker get time half thi paid enough black friday condit everi shift coronaviru ohiocoronaviru panicbuy covid
2791,COVID-19 panic buying hits grocery stores across Canada. #panicmode please stop rushing to the grocery store   https://t.co/wNQGdqaDG1,Negative,covid panic buy hit groceri store across canada panicmod plea stop rush groceri store http co wnqgdqadg
431,"My local supermarket looks like it's been looted with how people are panic buying over #Covid_19.

Calm down. Shops aren't closing down, they're still gonna be supplied.",Positive,local supermarket look like loot peopl panic buy covid calm shop close r still gonna suppli
757,@DazzyJinzo Yes it is. I was in the grocery store earlier. It was a fucking stampede and the shelfs are clearing. #CoronavirusPandemic #CoronaVirusUpdate #Covid_19,Negative,dazzyjinzo ye wa groceri store earlier wa fuck stamp shelf clear coronaviruspandem coronavirusupd covid
694,The situation in schools right now...whereÂs the ?!...Everyone told to hand wash ..councils have not sent out supplies and supermarkets are wiped clean leaving schools looking for supplies...#wherethesoap #Covid_19 #schools #handwash #teacher #CoronavirusPandemic #supermarket https://t.co/7VPiJa2GWS,Extremely Positive,situat school right everyon told hand wash council sent suppli supermarket wipe clean leav school look suppli wherethesoap covid school handwash teacher coronaviruspandem supermarket http co vpija gw
1814,"If you are over the age of 65 &amp; need errands run to the grocery store, etc, but are afraid of being exposed to the #coronavirus, call one of our offices with your name &amp; phone#. We will contact you to receive your instructions for assistance. Call 715-735-3700 or 920-434-2400.",Negative,age amp need errand run groceri store etc afraid expo coronaviru call one offic name amp phone contact receiv instruct assist call
649,Stock markets in freefall today due to #Covid_19 fears. Shares in Irish agri-food companies are down across the board. Kerry shares have fallen below Â100 and Glanbia now down below Â10 @farmersjournal #CoronavirusPandemic #COVID19ireland https://t.co/JjftteyQGe,Negative,stock market freefal today due covid fear share irish agri food compani across board kerri share fallen glanbia farmersjourn coronaviruspandem covid ireland http co jjftteyqg
105,"We (@hamiltonpoverty) are calling on Canadian Federal Government ?? to provide #BasicIncome 'Well-being and Stimulus Payments' during current COVID-19 situation. A basic income (even interim) could help keep people healthy, then revive consumer confidence and spending. #CdnPoli https://t.co/wRmkWLhJku",Extremely Positive,hamiltonpoverti call canadian feder govern provid basicincom well b stimulu payment dure current covid situat basic incom even interim could help keep peopl healthi reviv consum confid spend cdnpoli http co wrmkwlhjku
2986,"If you give attitude to a grocery store employee right now, you are the worst kind of person. #CoronaVirus",Extremely Negative,give attitud groceri store employ right worst kind person coronaviru
1529,"Are you a potential #Covid_19 #coronavirus test ÂconsumerÂ? Well, you are in luck! The administration is working with Google and 1700 engineers for you to be tested based on this new workflow. https://t.co/GWVIanSfYe",Extremely Positive,potenti covid coronaviru test consum well luck administr work googl engin test base thi new workflow http co gwviansfi
3001,"Avoid long lines and shop online! Plus FREE shipping for Prime members ??
Â·Â·Â·Â·Â·Â·Â·Â·Â·Â·
? Cleaning Supplies -&gt; https://t.co/IoQXOwemvS
? Personal Care Products -&gt; https://t.co/iTMviTSHhR
? Beauty Products -&gt; https://t.co/cSjtoBNcgW
Â·Â·Â·Â·Â·Â·Â·Â·Â·Â·
#shopping #affiliate #coronavirus https://t.co/PlWqi3VryR",Extremely Positive,avoid long line shop onlin plu free ship prime member clean suppli gt http co ioqxowemv person care product gt http co itmvitshhr beauti product gt http co csjtobncgw shop affili coronaviru http co plwqi vryr
2686,People who leave the gas pump in their car and go inside to get food deserve to get the #coronavirus #sorrynotsorry,Negative,peopl leav ga pump car go insid get food deserv get coronaviru sorrynotsorri
2501,"Anyone else doing some online shopping right now? I've noticed that some of these designers have suddenly made their ""70% off"" sales into ""50% off"" sales *with* free shipping! ? Like ""fuck this price gauging"", y'all! ? #onlineshopping #coronavirus #COVID19 #Covid_19 #COVID19US",Positive,anyon el onlin shop right v notic design suddenli made sale sale free ship like fuck thi price gaug onlineshop coronaviru covid covid covid u
806,When someone walks past you and coughs in a supermarket ? #Covid_19 #laskmun https://t.co/WgIlmrnhvd,Neutral,someon walk past cough supermarket covid laskmun http co wgilmrnhvd
238,Literally two weeks ago the U.S. economy was humming along and Bernie Sanders was the Democratic front-runner after a dominant victory in Nevada.,Neutral,liter two week ago u economi wa hum along berni sander wa democrat front runn domin victori nevada
2454,"@AnnCoulter This is media driven hysteria. Its causing people who work at sporting events, food trucks, etc to lose their jobs. Not to mention the damage to the stock market. Truly despicable. My family has deleted all @FoxNews shows. We are done
 #coro",Extremely Negative,anncoult thi media driven hysteria cau peopl work sport event food truck etc lose job mention damag stock market truli despic famili ha delet foxnew show done coro
3580,"Empty grocery store shelves are a common sight nationally due to the #coronavirus outbreak. 

However, one food industry representative from a trade group says while there will be periodic shortages, ""the grocery store supply chain is not going to shut down."" https://t.co/nTfNKQrobN",Negative,empti groceri store shelv common sight nation due coronaviru outbreak howev one food industri repr trade group say period shortag groceri store suppli chain go shut http co ntfnkqrobn
675,"One of our elderly non Muslim neighbours is disabled and is unable to get out.

My family ordered their shopping online.

The Quran takes it as axiomatic that a society is judged by the way it treats the most vulnerable: the very young and the very old.

#coronavirus #COVID19.",Negative,one elderli non muslim neighbour disabl unabl get famili order shop onlin quran take axiomat societi judg way treat vulner veri young veri old coronaviru covid
1553,#Hoarding #coronavirus People who stock pile food and essential items at this time are no better than the people who locked the poor in the hold on the Titanic. Only buy what you need - then they'll be enough for everyone so all will survive for when common sense gets here.,Negative,hoard coronaviru peopl stock pile food essenti item thi time better peopl lock poor hold titan onli buy need enough everyon surviv common sen get
497,Given all the cons and events being canceled due to #Covid_19 I really hope businesses that serve travelers are reconsidering cancellation policies to help ease the financial burdens on the consumer.,Extremely Positive,given con event cancel due covid realli hope busi serv travel reconsid cancel polici help ea financ burden consum
2910,@sergioaved @TheRideshareGuy Am I a missing something? While Apple close their retail store due to Covid-19 why people should order from cloud kitchens they have  no food handling guidelines,Negative,sergioav therideshareguy miss someth appl close retail store due covid whi peopl order cloud kitchen food handl guidelin
1919,The first half of the new #Netflix movie #Freaks is almost impossibly relevant for these shut-in times. (Also: We are all the dad who barely survived a trip to the supermarket so his daughter could have ice cream). #Covid_19,Positive,first half new netflix movi freak almost imposs relev shut time also dad bare surviv trip supermarket hi daughter could ice cream covid
2810,All stores outside of Greater China closed until March 27th That s roughly 500 retail store and 31 of the company s sales incl website gt Apple Closes All Its Stores Outside China Over,Positive,store outsid greater china close march th roughli retail store compani sale incl websit gt appl close store outsid china
2742,"While you're all busy with #COVID2019 and the media buzz around it, anyone care to notice that oil prices are decreasing internationally but rising by Rs. 2 - 3/litre everyday only in India? 
#OilPrices #InternationalMarkets",Positive,r busi covid media buzz around anyon care notic oil price decrea intern rise rs litr everyday onli india oilpric internationalmarket
2403,So we can t go to a game where people are well enough to attend but we should go to retail store giant parking lots amp congregate with symptomatic ppl swabs and collection merges Freaky 19,Negative,go game peopl well enough attend go retail store giant park lot amp congreg symptomat ppl swab collect merg freaki
339,Consumers in the U.S. have been slow to embrace online grocery shopping until now. But that mentality is starting to change in the era of #coronavirus. @SPGMarketIntel's @KatieArcieri reports: https://t.co/bWSBXnRqFc https://t.co/ucV82rKRbt,Positive,consum u slow embrac onlin groceri shop mental start chang era coronaviru spgmarketintel katiearcieri report http co bwsbxnrqfc http co ucv rkrbt
1136,When will it be necessary to stock up on non-perishables and start rationing food to eating one meal a day or eating every other day? #help #coronapocalypse #coronavirus #Covid_19 #rationing #food #shortageÂ https://t.co/v0iXtkiodI,Neutral,necessari stock non perish start ration food eat one meal day eat everi day help coronapocalyp coronaviru covid ration food shortag http co v ixtkiodi
3194,"@MoHFW_INDIA A sincere request to all related to COVID-19
Food Supply: Do not unnecessary stock groceries.  Just like how we all must keep extra cash at home for any unforeseeable emergencies, same holds true for groceries.",Extremely Positive,mohfw india sincer request relat covid food suppli unnecessari stock groceri like must keep extra cash home ani unfores emerg hold true groceri
1938,"Contrast in measures: today in Beijing, I went to the supermarket, and besides having my temperature checked at least 4 times in the same mall, I had to scan a QR code and input my name + phone number. #Covid_19",Positive,contrast measur today beij went supermarket besid temperatur check least time mall scan qr code input name phone number covid
2232,"What are business or consumer behaviors that may change permanently due to COVID-19? 
Ex. Remote work, house hunting online, online grocery. 
Explain your reasoning.
#COVID?19 #CoronaVirusUpdates 
#coronavirus #COVID19india",Neutral,busi consum behavior may chang perman due covid ex remot work hou hunt onlin onlin groceri explain reason covid coronavirusupd coronaviru covid india
1679,@realDonaldTrump  Shame on you. Shame on you for the lack of testing in real time that leaves us not knowing how many people are carrying this. Shame on you for the quiet uncertainty I just witnessed at the grocery store. Shame on you. #POSOTUS #Covid_19 ,Extremely Negative,realdonaldtrump shame shame lack test real time leav us know mani peopl carri shame quiet uncertainti wit groceri store shame posotu covid
682,"1/ All this looks like a post-apocalyptic B-Rated movie where it starts with pieces of news, panic, fight over food and resources and then screen coes blank. It writes, 1 year later. A deserted city with empty cars, crashed and piled up trash...
#Covid_19 #CoronavirusPandemic",Extremely Negative,thi look like post apocalypt b rate movi start piec news panic fight food resourc screen coe blank write year later desert citi empti car crash pile trash covid coronaviruspandem
461,"@trish_regan METRO MANILA PHILIPPINES??PLACED UNDER 
ÂCommunity QuarantineÂ.NOÂMass Gatherings or EventsÂto contain theÂcoronavirus disease 2019(COVID-19)Âstarting 3/15. HOARDERS OF CONSUMER GOODS WILL FACE 
ÂImprisonmentsÂ.#Covid_19 #TrishReg",Negative,trish regan metro manila philippin plac commun quarantin mass gather event contain coronaviru disea covid start hoarder consum good face imprison covid trishreg
2142,"I work in a grocery store , please be kind to staff and customers.  If you see someone struggling please help , this panic is scaring the shit out of people !   Remember you rely on us to get your food if we close you are screwed BE KIND &amp; WASH YOUR HANDS #Covid_19 #Coronavirus",Extremely Positive,work groceri store plea kind staff custom see someon struggl plea help thi panic scare shit peopl rememb reli us get food close screw kind amp wash hand covid coronaviru
1878,Grocery store as of one hour ago...11 am on a Friday. #Covid_19 #coronavirus https://t.co/W536XVBTul,Neutral,groceri store one hour ago friday covid coronaviru http co w xvbtul
1208,Apparently the #Covid_19 virus causes excessive bowel movements judging by these grocery store toiletry sections ? Maybe if yÂall was eating right for a healthy immune system you wouldnÂt be panic buying Shea butter essenced Andrex toilet tissue to combat the ÂT-VirusÂ ????? https://t.co/knSr0JqNm2,Negative,appar covid viru cau excess bowel movement judg groceri store toiletri section mayb wa eat right healthi immun system panic buy shea butter essenc andrex toilet tissu combat viru http co knsr jqnm
2633,"Just like in Europe #Italy #Spain &amp; many more countrys, we should start protecting our groceryÂs store : @Safeway @CalmartNV #CostcoPanicBuying . We should have either the @CalistogaPOA @StHelenaCA @USNationalGuard securing our basic food needs for the long days ahead #Covid_19 https://t.co/25hjjICgzx",Positive,like europ itali spain amp mani countri start protect groceri store safeway calmartnv costcopanicbuy either calistogapoa sthelenaca usnationalguard secur basic food need long day ahead covid http co hjjicgzx
3719,19 Malaysia s supermarket should also dedicate special hours only for the elderly and OKU They too need to buy the necessary without going through masses at this difficult time May Allah swt grant ease to everyone Aamiin,Positive,malaysia supermarket also dedic special hour onli elderli oku need buy necessari without go mass thi difficult time may allah swt grant ea everyon aamiin
2236,"#Covid_19 panic causing people to value their toilet paper over food supplies. ? ?. Instead of limited food and sanitizers, it's instead limited toilet tissues.",Negative,covid panic cau peopl valu toilet paper food suppli instead limit food sanit instead limit toilet tissu
1932,When was the last time before this week you all went to the Supermarket?  2017?  #Covid_19,Neutral,wa last time befor thi week went supermarket covid
2391,"Mean reversion is not a law, itÂs a tendency. What are business or consumer behaviors that may inflect permanently due to COVID-19? Ex. Remote work, house hunting online, cord cutting. Explain your reasoning. Please RT so we get more answers.",Positive,mean rever law tendenc busi consum behavior may inflect perman due covid ex remot work hou hunt onlin cord cut explain reason plea rt get answer
184,"Everybody stocking up on toilet paper, and IÂm like WTH? IÂd rather stock up on extra food. Without it, the other becomes useless. ??? #coronavirus",Extremely Negative,everybodi stock toilet paper like wth rather stock extra food without becom useless coronaviru
2866,Want to support local businesses but don t want to spend a lot of time in a store or restaurant Buy a gift card some even offer them online You ll help keep small businesses afloat AND you ll have a mini shopping dining spree to look forward to once the COVID 19 danger s gone,Extremely Positive,want support local busi want spend lot time store restaur buy gift card even offer onlin help keep small busi afloat mini shop dine spree look forward onc covid danger gone
2311,"When I visited my local Apple store 2 weeks ago, all the surrounding shops were sleepy quiet while Apple was packed!  Busiest place in town!
Apple closes all stores except in China for two weeks due to coronavirus pandemic https://t.co/tJPtq3Fomt via ?@USATODAY?",Neutral,visit local appl store week ago surround shop sleepi quiet appl wa pack busiest place town appl close store except china two week due coronaviru pandem http co tjptq fomt via usatoday
